new_id,old_id
GB-CASC-4d92791f,GB-CASC-a4660895
GB-CASC-f266082b,GB-CASC-f266082b
GB-CASC-bb28246c,GB-CASC-e53d4874
GB-CASC-8acca57d,GB-CASC-a08603d4
GB-CASC-6e6bf026,GB-CASC-6e6bf026
GB-CASC-25dbaf84,GB-CASC-9ac42d8f
GB-CASC-090156a4,GB-CASC-4b3113ef
GB-CASC-f3172da5,GB-CASC-264c6d6f
GB-CASC-ce047e36,GB-CASC-9d252964
GB-CASC-6314c1cc,GB-CASC-b69f7f56
GB-CASC-e779bb2c,GB-CASC-0bef6fa9
GB-CASC-02e5cebc,GB-CASC-f4c52297
GB-CASC-0376eea1,GB-CASC-0376eea1
GB-CASC-1e4498d8,GB-CASC-cb1deb72
GB-CASC-a0cb2f25,GB-CASC-2eb36bc7
GB-CASC-c43e5c34,GB-CASC-c43e5c34
GB-CASC-f44409fb,GB-CASC-a93cfbbf
GB-CASC-ed891090,GB-CASC-1a6068e0
GB-CASC-4e65e9f5,GB-CASC-4e65e9f5
GB-CASC-11a8865f,GB-CASC-e0732ee0
GB-CASC-fef7b7fc,GB-CASC-fef7b7fc
GB-CASC-1a092096,GB-CASC-46024e04
GB-CASC-5fa5494a,GB-CASC-46024e04
GB-CASC-9f3fe899,GB-CASC-fa4277a2
GB-CASC-0a8e3d3f,GB-CASC-d7afd17c
GB-CASC-9e60304f,GB-CASC-6a56b856
GB-CASC-9dc89917,GB-CASC-b63aff2a
GB-CASC-d6467347,GB-CASC-ab0ddac6
GB-CASC-2309bb16,GB-CASC-54de3454
GB-CASC-6f506a2d,GB-CASC-6f506a2d
GB-CASC-e6146fb3,GB-CASC-fa401299
GB-CASC-d5b08b7e,GB-CASC-801b361d
GB-CASC-d21d8d91,GB-CASC-35e3efdf
GB-CASC-e9dfc5c7,GB-CASC-e9dfc5c7
GB-CASC-a5effcb4,GB-CASC-988bd161
GB-CASC-ee2f3b84,GB-CASC-59b4ed3e
GB-CASC-e369dc32,GB-CASC-e369dc32
GB-CASC-eeca5a50,GB-CASC-eeca5a50
GB-CASC-1943e130,GB-CASC-1943e130
GB-CASC-049e9a76,GB-CASC-0883b935
GB-CASC-62bb8a94,GB-CASC-62bb8a94
GB-CASC-7f0592f0,GB-CASC-52c0a17c
GB-CASC-52b1bcb3,GB-CASC-b9cbcee1
GB-CASC-c270c59b,GB-CASC-c270c59b
GB-CASC-2dc27af7,GB-CASC-639abbb5
GB-CASC-5743b985,GB-CASC-3699dffc
GB-CASC-3600991b,GB-CASC-0dc5e406
GB-CASC-a7e1e31a,GB-CASC-3c618781
GB-CASC-480d1138,GB-CASC-ee03212d
GB-CASC-ce6de50f,GB-CASC-ce6de50f
GB-CASC-ea8fc647,GB-CASC-ea8fc647
GB-CASC-314bf8fc,GB-CASC-314bf8fc
GB-CASC-435e3de7,GB-CASC-b6f6af51
GB-CASC-b352e283,GB-CASC-b352e283
GB-CASC-3559d2c3,GB-CASC-3559d2c3
GB-CASC-475d80bd,GB-CASC-475d80bd
GB-CASC-203b184f,GB-CASC-203b184f
GB-CASC-4e3fcccb,GB-CASC-a61cbc25
GB-CASC-2a9c0033,GB-CASC-0d6fd61d
GB-CASC-db1ad1d5,GB-CASC-db1ad1d5
GB-CASC-208c7a6b,GB-CASC-208c7a6b
GB-CASC-09e3c4a0,GB-CASC-09e3c4a0
GB-CASC-9e0dc347,GB-CASC-d70e55e6
GB-CASC-65717da3,GB-CASC-09e3c4a0
GB-CASC-e4b73663,GB-CASC-143d2cf4
GB-CASC-c94246b8,GB-CASC-ba9c20e4
GB-CASC-e7b4bf3f,GB-CASC-e7b4bf3f
GB-CASC-cb478b26,GB-CASC-160cd141
GB-CASC-d0b7acb6,GB-CASC-d0b7acb6
GB-CASC-b284946e,GB-CASC-2d34f50d
GB-CASC-dca83fed,GB-CASC-815a3508
GB-CASC-f36277e0,GB-CASC-5213fe70
GB-CASC-17d198ff,GB-CASC-17d198ff
GB-CASC-26cdb089,GB-CASC-2b79e558
GB-CASC-815a3508,GB-CASC-815a3508
GB-CASC-ad99ba99,GB-CASC-ad99ba99
GB-CASC-897e3a56,GB-CASC-f41f8a57
GB-CASC-77197b19,GB-CASC-e13800bd
GB-CASC-580d906b,GB-CASC-09236b46
GB-CASC-56b793a4,GB-CASC-56b793a4
GB-CASC-f03899ca,GB-CASC-7e6aca60
GB-CASC-8e5f6049,GB-CASC-183f482f
GB-CASC-8ce1a12b,GB-CASC-8ce1a12b
GB-CASC-be8fbda3,GB-CASC-5e6452d9
GB-CASC-e5be38c8,GB-CASC-7050354e
GB-CASC-2259b860,GB-CASC-2259b860
GB-CASC-04b1d14f,GB-CASC-a0f26f29
GB-CASC-6954b7a5,GB-CASC-0bbd01f9
GB-CASC-b601438f,GB-CASC-1d7b48e5
GB-CASC-8489523b,GB-CASC-8489523b
GB-CASC-1882db6c,GB-CASC-4461f982
GB-CASC-766dcd9d,GB-CASC-ff5345da
GB-CASC-39c2aaf4,GB-CASC-7c76c99b
GB-CASC-b4642389,GB-CASC-1651b955
